Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Bruno Fernando,C,24,ATL,8,0,5.1,1.4,2.4,0.579,0.0,0.4,0.0,1.4,2.0,0.688,0.579,0.6,0.8,0.833,0.8,1.1,1.9,0.1,0.0,0.4,0.6,0.8,3.4,12636.0,Bruno Fernando,ATL,24.0,208.28,108.86208,Maryland,Angola,2019,2,34,39.0,3.9,3.5,0.8,-8.9,0.123,0.19,0.159,0.5710000000000001,0.1169999999999999,2022-23
Dorian Finney-Smith,PF,29,TOT,66,66,30.4,3.0,7.6,0.391,1.7,5.1,0.337,1.2,2.5,0.503,0.505,0.7,0.9,0.763,1.7,3.1,4.8,1.5,0.8,0.5,0.9,2.2,8.3,12490.0,Dorian Finney-Smith,BKN,30.0,200.66,99.79024,Florida,USA,Undrafted,Undrafted,Undrafted,66.0,8.3,4.8,1.5,-0.3,0.055,0.105,0.129,0.523,0.07,2022-23
Dorian Finney-Smith,PF,29,DAL,40,40,32.2,3.2,7.8,0.416,1.9,5.4,0.355,1.3,2.3,0.559,0.54,0.8,1.0,0.75,1.7,3.0,4.7,1.5,1.0,0.5,0.9,2.0,9.1,12490.0,Dorian Finney-Smith,BKN,30.0,200.66,99.79024,Florida,USA,Undrafted,Undrafted,Undrafted,66.0,8.3,4.8,1.5,-0.3,0.055,0.105,0.129,0.523,0.07,2022-23
Dorian Finney-Smith,PF,29,BRK,26,26,27.7,2.6,7.3,0.351,1.4,4.7,0.306,1.2,2.7,0.429,0.448,0.6,0.7,0.789,1.8,3.1,4.9,1.6,0.7,0.6,1.0,2.5,7.2,12490.0,Dorian Finney-Smith,BKN,30.0,200.66,99.79024,Florida,USA,Undrafted,Undrafted,Undrafted,66.0,8.3,4.8,1.5,-0.3,0.055,0.105,0.129,0.523,0.07,2022-23
Malachi Flynn,PG,24,TOR,53,2,13.0,1.6,4.6,0.36,0.9,2.5,0.353,0.8,2.1,0.367,0.457,0.5,0.6,0.758,0.3,1.2,1.4,1.3,0.4,0.1,0.5,1.2,4.6,12746.0,Malachi Flynn,TOR,25.0,185.42,79.3786,San Diego State,USA,2020,1,29,53.0,4.6,1.4,1.3,-3.5,0.019,0.0969999999999999,0.168,0.479,0.145,2022-23
Simone Fontecchio,SF,27,UTA,52,6,14.7,2.2,6.0,0.369,1.2,3.7,0.33,1.0,2.3,0.43,0.47,0.7,0.8,0.795,0.6,1.1,1.7,0.8,0.3,0.2,0.8,1.2,6.3,12439.0,Simone Fontecchio,UTA,27.0,200.66,94.800728,None,Italy,Undrafted,Undrafted,Undrafted,52.0,6.3,1.7,0.8,-13.1,0.036,0.07,0.192,0.495,0.079,2022-23
Bryn Forbes,SG,29,MIN,25,0,10.7,1.2,3.3,0.361,0.6,1.8,0.304,0.6,1.5,0.432,0.446,0.6,0.6,1.0,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6,12638.0,Bryn Forbes,MIN,29.0,187.96,92.98636,Michigan State,USA,Undrafted,Undrafted,Undrafted,25.0,3.6,0.6,0.7,-8.5,0.015,0.04,0.155,0.497,0.087,2022-23
Trent Forrest,PG,24,ATL,23,3,12.0,1.1,2.6,0.417,0.0,0.1,0.0,1.1,2.5,0.431,0.417,0.1,0.1,0.667,0.2,1.4,1.6,1.7,0.3,0.1,0.7,0.7,2.3,12428.0,Trent Forrest,ATL,25.0,193.04,95.25432,Florida State,USA,Undrafted,Undrafted,Undrafted,23.0,2.3,1.6,1.7,-10.1,0.018,0.1169999999999999,0.1159999999999999,0.424,0.186,2022-23
Michael Foster Jr.,PF,20,PHI,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12469.0,Michael Foster Jr.,PHI,20.0,203.2,113.398,None,USA,Undrafted,Undrafted,Undrafted,1.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,2022-23
Evan Fournier,SG,30,NYK,27,7,17.0,2.1,6.1,0.337,1.3,4.2,0.307,0.8,1.9,0.404,0.443,0.7,0.8,0.857,0.1,1.7,1.8,1.3,0.6,0.1,0.8,1.7,6.1,12549.0,Evan Fournier,NYK,30.0,198.12,92.98636,None,France,2012,1,20,27.0,6.1,1.8,1.3,-4.7,0.008,0.096,0.179,0.471,0.111,2022-23
